EVENT,DESCRIPTION,FROM_URL,DATE,TIMES,IMAGE,RESERVATION_URL
Randy Rogers Band,Parker McCollum,https://www.930.com/event/1690034-randy-rogers-band-washington/,Fri 16 Nov,"
  Doors: 6:00 pm",https://www.930.com/9_30_files/58-og(1).jpg,https://www.ticketfly.com/purchase/event/1690034
Mitski,Overcoats,https://www.930.com/event/1705837-mitski-washington/,Fri 16 Nov,"
  Doors: 10:00 pm",https://www.930.com/9_30_files/78-og.jpg,Not Found
Mitski,Overcoats,https://www.930.com/event/1752218-mitski-washington/,Sat 17 Nov,"
  Doors: 8:00 pm",https://www.930.com/9_30_files/78-og.jpg,Not Found
Wild Nothing,Men I Trust,https://www.930.com/event/1710242-wild-nothing-washington/,Sun 18 Nov,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/22-og.jpg,https://www.ticketfly.com/purchase/event/1710242
The Dead South,"The Hooten Hallers, Del Suelo",https://www.930.com/event/1710251-dead-south-washington/,Tue 20 Nov,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/53-og.jpeg,https://www.ticketfly.com/purchase/event/1710251
Allen Stone,Nick Waterhouse,https://www.930.com/event/1678960-allen-stone-washington/,Wed 21 Nov,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/98-og.jpg,https://www.ticketfly.com/purchase/event/1678960
Hot In Herre: 2000s Dance Party,"DJs Will Eastman and Ozker, Visuals by Kylos",https://www.930.com/event/1780742-hot-in-herre-2000s-dance-washington/,Fri 23 Nov,"
  Doors: 9:00 pm",https://www.930.com/9_30_files/94-og.jpg,Not Found
All the Divas - A Dance Party with DJ lil'e,,https://www.930.com/event/1767693-all-divas-dance-party-dj-washington/,Sat 24 Nov,"
  Doors: 8:00 pm",https://www.930.com/9_30_files/76-og.jpg,https://www.ticketfly.com/purchase/event/1767693
Colter Wall,,https://www.930.com/event/1735275-colter-wall-washington/,Wed 28 Nov,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/99-og(1).jpg,https://www.ticketfly.com/purchase/event/1735275
Sister Sparrow & The Dirty Birds,The Rad Trads,https://www.930.com/event/1729496-sister-sparrow-dirty-birds-washington/,Thu 29 Nov,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/47-og.jpg,https://www.ticketfly.com/purchase/event/1729496
Kurt Vile & The Violators,Jessica Pratt,https://www.930.com/event/1718903-kurt-vile-violators-washington/,Fri 30 Nov,"
  Doors: 8:00 pm",https://www.930.com/9_30_files/36-og.jpg,https://www.ticketfly.com/purchase/event/1718903
Minzy,,https://www.930.com/event/1767697-minzy-washington/,Sun 02 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/90-og.jpg,https://www.ticketfly.com/purchase/event/1767697
Polo & Pan,,https://www.930.com/event/1735252-polo-pan-washington/,Tue 04 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/06-og.jpg,https://www.ticketfly.com/purchase/event/1735252
Kodaline,Ocean Park Standoff,https://www.930.com/event/1713265-kodaline-washington/,Wed 05 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/74-og.jpg,https://www.ticketfly.com/purchase/event/1713265
Marcus King Band,Ida Mae,https://www.930.com/event/1731380-marcus-king-band-washington/,Thu 06 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/16-og.jpg,https://www.ticketfly.com/purchase/event/1731380
Khruangbin,Will Van Horn,https://www.930.com/event/1746799-khruangbin-washington/,Fri 07 Dec,"
  Doors: 8:00 pm",https://www.930.com/9_30_files/68-og.jpg,Not Found
Neal Brennan,,https://www.930.com/event/1716155-neal-brennan-washington/,Sat 08 Dec,"
  Doors: 6:00 pm",https://www.930.com/9_30_files/29-og.jpg,https://www.ticketfly.com/purchase/event/1716155
"BenDeLaCreme & Jinkx Monsoon: To Jesus, Thanks for Everything! -Jinkx & DeLa",,https://www.930.com/event/1770722-bendelacreme-jinkx-monsoon-washington/,Sun 09 Dec,"
  Doors: 7:30 pm",https://www.930.com/9_30_files/96-og.jpg,https://www.ticketfly.com/purchase/event/1770722
Gang of Youths,Gretta Ray,https://www.930.com/event/1760410-gang-youths-washington/,Mon 10 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/75-og.jpg,https://www.ticketfly.com/purchase/event/1760410
Phosphorescent,Liz Cooper & The Stampede,https://www.930.com/event/1739469-phosphorescent-washington/,Tue 11 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/36-og(1).jpg,https://www.ticketfly.com/purchase/event/1739469
Thievery Corporation,The Suffers,https://www.930.com/event/1738276-thievery-corporation-washington/,Thu 13 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/58-og(2).jpg,Not Found
Thievery Corporation,The Suffers,https://www.930.com/event/1768972-thievery-corporation-washington/,Fri 14 Dec,"
  Doors: 8:00 pm",https://www.930.com/9_30_files/58-og(2).jpg,https://www.ticketfly.com/purchase/event/1768972
Cat Power,,https://www.930.com/event/1765980-cat-power-washington/,Sun 16 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/98-og(1).jpg,https://www.ticketfly.com/purchase/event/1765980
The Oh Hellos Christmas Extravaganza,The Family Crest,https://www.930.com/event/1775757-oh-hellos-christmas-washington/,Wed 19 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/87-og.jpg,https://www.ticketfly.com/purchase/event/1775757
Hiss Golden Messenger,,https://www.930.com/event/1749067-hiss-golden-messenger-washington/,Thu 20 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/23-og.jpg,https://www.ticketfly.com/purchase/event/1749067
Snail Mail,Empath,https://www.930.com/event/1756683-snail-mail-washington/,Fri 21 Dec,"
  Doors: 8:00 pm",https://www.930.com/9_30_files/19-og.jpg,https://www.ticketfly.com/purchase/event/1756683
Big Something & Too Many Zooz,Electric Love Machine,https://www.930.com/event/1768573-big-something-too-many-zooz-washington/,Sat 22 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/29-og(1).jpg,https://www.ticketfly.com/purchase/event/1768573
Margo Price,Lilly Hiatt,https://www.930.com/event/1777040-margo-price-washington/,Thu 27 Dec,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/43-og.jpeg,https://www.ticketfly.com/purchase/event/1777040
The Pietasters,"Big D and the Kids Table, The Forwards, DJ Selah",https://www.930.com/event/1778301-pietasters-washington/,Fri 28 Dec,"
  Doors: 8:00 pm",https://www.930.com/9_30_files/28-og(1).jpg,https://www.ticketfly.com/purchase/event/1778301
GWAR,"Iron Reagan, Against The Grain",https://www.930.com/event/1772225-gwar-washington/,Sat 29 Dec,"
  Doors: 8:00 pm",https://www.930.com/9_30_files/82-og(2).jpg,https://www.ticketfly.com/purchase/event/1772225
Ozomatli,,https://www.930.com/event/1778304-ozomatli-washington/,Thu 03 Jan,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/64-og.jpg,https://www.ticketfly.com/purchase/event/1778304
Noname,Elton,https://www.930.com/event/1763145-noname-washington/,Tue 08 Jan,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/32-og(1).jpg,https://www.ticketfly.com/purchase/event/1763145
Noname,Elton,https://www.930.com/event/1762628-noname-washington/,Wed 09 Jan,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/32-og(1).jpg,Not Found
MØ,ABRA,https://www.930.com/event/1777730-m-washington/,Tue 15 Jan,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/04-og.jpg,Not Found
The Wood Brothers,Priscilla Renea,https://www.930.com/event/1739553-wood-brothers-washington/,Thu 17 Jan,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/41-og.jpg,https://www.ticketfly.com/purchase/event/1739553
The Wood Brothers,Priscilla Renea,https://www.930.com/event/1739558-wood-brothers-washington/,Fri 18 Jan,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/41-og.jpg,https://www.ticketfly.com/purchase/event/1739558
Cracker and Camper Van Beethoven,,https://www.930.com/event/1766006-cracker-camper-van-beethoven-washington/,Sat 19 Jan,"
  Doors: 6:00 pm",https://www.930.com/9_30_files/38-og.jpg,Not Found
Poppy (NEW DATE),,https://www.930.com/event/1726640-poppy-new-date-washington/,Thu 31 Jan,"
  Doors: 6:00 pm",https://www.930.com/9_30_files/71-og.jpeg,https://www.ticketfly.com/purchase/event/1726640
